,review_content
28564,"['weird', 'science', 'combine', 'two', 'great', 'tradition', 'popular', 'entertainment', 'inflame', 'male', 'teenage', 'fantasy', 'frankenstein', 'monster']"
47423,"['hannibal', 'beautiful', 'mess', 'take', 'joy', 'well', 'often', 'dry']"
32639,"['often', 'silly', 'almost', 'never', 'funny']"
20799,"['comedy', 'classic', 'never', 'see', 'ask']"
27455,"['empty', 'comedy', 'mean', 'reconciliation', 'decline', 'vaudeville', 'actor', 'full', 'review', 'spanish']"
31548,"['perhaps', 'best', 'argument', 'clint', 'eastwood', 'savvier', 'craftier', 'complicate', 'filmmaker', 'one', 'many', 'consider']"
2626,"['swoony', 'verbose', 'serious', 'adolescent', 'journal', 'entry']"
38512,"['promise', 'start', 'look', 'adultery', 'lose', 'way', 'end', 'anything', 'resemble', 'point']"
26534,"['violence', 'sex', 'profanity', '70', 'classic']"
23302,"['stern', 'intimation', 'terrible', 'consequence', 'war', 'film', 'haunt', 'affect', 'well', 'reward', 'drama', 'time']"
17032,"['gregory', 'peck', 'miscast', 'film', 'entertain', 'enough']"
48686,"['disconcertingly', 'finally', 'happy', 'surprise', 'picture', 'come', 'way', 'persuades', 'perverse', 'point', 'view']"
39687,"['blade', 'often', 'ridiculous', 'mostly', 'poorly', 'write', 'surprisingly', 'poorly', 'act']"
43240,"['sink', 'weight', 'bad', 'storytelling', 'filmmaker', 'pretension']"
2236,"['message', 'bother', 'obvious', 'way', 'deliver']"
32157,"['superb', 'silent', 'thriller']"
24038,"['demur', 'let', 'false', 'note', 'get', 'porter', 'life', 'story', 'merely', 'querulousness', 'never', 'enter', 'head', 'reaction', 'multitude', 'enjoy']"
9837,"['igor', 'like', 'ibore']"
5030,"['though', 'film', 'come', 'warn', 'express', 'point', 'view', 'director', 'reality', 'schroeder', 'seem', 'offer', 'portrait', 'glib', 'man', 'simply', 'defy', 'conclusive', 'description']"
48291,"['get', 'life', 'back', 'course', 'fall', 'love', 'bad', 'idea', 'movie', 'long', 'something', 'unfortunately']"
44734,"['firework', 'amount', 'little', 'fizzle']"
4731,"['deserves', 'credit', 'work', 'way', 'many', 'modern', 'comedy', 'bring', 'finish', 'line', 'energy', 'spare', 'instead', 'leave', 'feeling', 'sap']"
3389,"['one', 'act', 'play', 'search', 'black', 'box', 'theater', 'audience', 'unfamiliar', 'intense', 'cat', 'mouse', 'character', 'study', 'afraid', 'virginia', 'woolf']"
48802,"['shameless', 'cunning', 'monster', 'carefully', 'check', 'double', 'check', 'every', 'important', 'demographic', 'every', 'potential', 'moviegoer']"
49652,"['nicole', 'kidman', 'brilliant', 'turn', 'dominate', 'sumptuously', 'make', 'supernatural', 'thriller', 'sustains', 'creepy', 'tension', 'without', 'rely', 'gory', 'violence', 'special', 'effect']"
39776,"['norton', 'act', 'dahl', 'gift', 'sustain', 'tone', 'save', 'rounder', 'completely', 'flounder']"
26340,"['maybe', 'day', 'progress', 'past', 'point', 'seriousness', 'film', 'determine', 'moroseness', 'finale', 'though', 'audience', 'must', 'pay', 'penance', 'laugh', 'comedic', 'moment']"
42462,"['double', 'jeopardy', 'give', 'impression', 'writer', 'make', 'filming', 'little', 'regard', 'audience', 'intelligence']"
11653,"['plot', 'climax', 'could', 'best', 'credit', 'roll', 'outtake', 'movie', 'history', 'certainly', 'rank', 'one', 'best', 'ever', 'punch', 'line']"
30888,"['really', 'fun', 'classic', 'rom', 'com', 'stuff']"
3475,"['ten', 'proud', 'wit', 'irreverence', 'fail', 'equally', 'impressed', 'likely', 'wonder', 'sense', 'humor', 'way', 'deficient', 'rest', 'assure']"
30071,"['case', 'study', 'dire', 'effect', 'individual', 'lack', 'ethical', 'standard']"
1120,"['bypass', 'mythic', 'tone', 'richard', 'wagner', 'opera', 'without', 'forsake', 'storybook', 'romance', 'inoffensive', 'result', 'get', 'job', 'do', 'sadly', 'fail', 'excite']"
35280,"['movie', 'state', 'art', 'top', 'non', 'stop', 'hollywood', 'hokum', 'mean', 'compliment']"
21873,"['touch', 'move', 'film', 'take', 'time', 'rely', 'strident', 'melodramatics', 'tell', 'story']"
17124,"['david', 'lean', 'brief', 'encounter', 'tower', 'majority', 'romantic', 'film', 'precisely', 'call', 'bluff', 'genre', 'wish', 'fulfillment']"
19422,"['far', 'madding', 'crowd', 'uncommon', 'effect', 'classic', 'send', 'one', 'back', 'book', 'reassurance', 'hardy', 'really', 'achieve', 'film']"
10234,"['sprawl', 'complex', 'web', 'family', 'betrayal', 'emotionally', 'stunt', 'relationship', 'disappointment', 'banishment', 'plain', 'old', 'eccentric', 'behavior', 'cliché', 'movie', 'frighteningly', 'true']"
34166,"['director', 'john', 'carpenter', 'unable', 'generate', 'anything', 'resemble', 'suspense', 'even', 'basic', 'narrative', 'fluidity']"
49339,"['story', 'might', 'much', 'new', 'still', 'fun', 'see', 'thief', 'look', 'intimidate', 'new', 'safe', 'utterly', 'undaunted']"
19858,"['many', 'good', 'thing', 'frantic', 'one', 'feel', 'irritate', 'movie', 'whole', 'good', 'certainly', 'mile', 'well', 'polanski', 'recent', 'effort', 'disastrous', 'pirate', 'good']"
21991,"['ingredient', 'make', 'rodgers', 'hammerstein', 'king', 'memorable', 'stage', 'experience', 'faithfully', 'transfer', 'screen']"
35795,"['blatantly', 'pirate', 'stuff', 'hopefully', 'screenwriter', 'michael', 'crichton', 'anne', 'marie', 'martin', 'pay', 'handsomely', 'recycle', 'idea']"
29693,"['director', 'scorsese', 'impeccable', 'job', 'cover', 'ground', 'hour', 'film', 'seem', 'long']"
7762,"['shutter', 'feature', 'another', 'pale', 'scraggly', 'haired', 'young', 'woman', 'ring', 'haunt', 'protagonist', 'yawn']"
7852,"['director', 'scott', 'stewart', 'fun', 'genre', 'make', 'effective', 'use', 'technology', 'amid', 'ridiculous', 'delivers', 'often', 'surprisingly', 'compelling', 'movie', 'superior', 'element']"
40629,"['stimulate', 'challenging', 'film']"
11756,"['hangover', 'might', 'top', 'class', 'indie', 'pop', 'art', 'film', 'represent', 'best', 'comedy', 'provide', 'pure', 'unadulterated', 'slaphappy', 'entertainment', 'nothing', 'wrong']"
2057,"['one', 'polanski', 'safest', 'least', 'distinctive', 'picture', 'another', 'tasteful', 'run', 'story', 'already', 'familiar', 'well', 'least', 'one', 'nobody', 'sings']"
23067,"['bolt', 'somewhat', 'abstract', 'argument', 'honor', 'brought', 'life', 'paul', 'scofield', 'warm', 'voice', 'presence']"
27048,"['cop', 'buddy', 'film', 'nothing', 'special', 'one', 'badham', 'best']"
31749,"['defy', 'rationality', 'rather', 'turn', 'rationality', 'instrument', 'horror']"
2158,"['producer', 'may', 'right', 'bemoan', 'hollywood', 'myopia', 'movie', 'execution', 'vision', 'alternative', 'african', 'american', 'cinema', 'delay', 'release']"
49354,"['good', 'heist', 'movie', 'flaw', 'thoroughly', 'competent', 'amaze', 'cast', 'precise', 'almost', 'mametian', 'dialogue']"
49674,"['beyond', 'evident', 'technical', 'proficiency', 'show', 'film', 'still', 'reduce', 'primary', 'narrative', 'parlour', 'game', 'try', 'guess', 'ghostly', 'twist']"
47143,"['show', 'subdue', 'nicholson', 'still', 'pack', 'wallop', 'nearly', 'peer']"
36225,"['whole', 'lot', 'fun']"
19906,"['chris', 'sarandon', 'terrific', 'vampire', 'quite', 'affable', 'debonair', 'fingernail', 'start', 'grow', 'eye', 'get', 'glow']"
19926,"['year', 'best', 'picture', 'oscar', 'nominee', 'lucky', 'last', 'year']"
9626,"['george', 'tillman', 'film', 'may', 'follow', 'well', 'worn', 'path', 'many', 'musical', 'biography', 'spot', 'cast', 'light', 'touch', 'around', 'edge', 'affection', 'subject', 'make', 'wart', 'look', 'big', 'man', 'big', 'hit', 'winner']"
2336,"['dry', 'dreary', 'little', 'affair', 'one', 'almost', 'shamefully', 'beholden', 'flick', 'lot', 'energetic', 'lot', 'less', 'intent', 'take', 'seriously']"
1210,"['compel', 'story', 'wash', 'film', 'likely', 'appeal', 'pre', 'teen', 'girl']"
5430,"['amid', 'bright', 'light', 'cameron', 'diaz', 'ashton', 'kutcher', 'fail', 'generate', 'even', 'faint', 'erotic', 'spark']"
43559,"['way', 'many', 'poop', 'crotch', 'joke']"
22867,"['film', 'seem', 'conceive', 'misunderstanding']"
30198,"['ivan', 'get', 'gun']"
21360,"['informer', 'remain', 'keenly', 'move', 'film', 'experience']"
19592,"['moment', 'relive', 'past', 'turn', 'silly', 'unimportant', 'film']"
5003,"['jacques', 'vergs', 'defend', 'lot', 'people', 'zelig', 'like', 'journey', 'politics', 'postwar', '20th', 'century', 'contentious', 'subject', 'barbet', 'schroeder', 'unwieldy', 'unforgettable', 'film']"
27918,"['graphically', 'violent', 'gory', 'grisly', 'frighten', 'though', 'top', 'date', 'gore', 'almost', 'campy']"
14405,"['formulaic', 'comedy', 'enliven', 'high', 'spirit', 'support', 'player']"
6975,"['writer', 'director', 'richard', 'kelly', 'effectively', 'evoke', 'feel', '70', 'paranoia', 'thriller', 'stressing', 'image', 'sequence', 'increasingly', 'unsettling', 'nature']"
25918,"['girl', 'gun', 'good', 'old', 'fashion', 'fisticuffs', 'miss', 'like', 'smack', 'chop']"
11460,"['sister', 'keeper', 'quite', 'keeper', 'sturdy', 'melodrama', 'earn', 'copious', 'tear']"
13549,"['legacy', 'title', 'appear', 'george', 'lucas', 'course', 'last', 'thing', 'admirer', 'tron', 'want', 'see', 'bill', 'gate', 'take', 'apple']"
24429,"['much', 'film', 'terrific', 'unnerve', 'stuff', 'much', 'kind', 'loopy', 'much', 'silly', 'take', 'even', 'little', 'seriously']"
24101,"['late', 'ultimate', 'edition', 'feature', 'digitally', 'colourise', 'version', 'well', 'audio', 'commentary', 'mike', 'nelson']"
14386,"['lottery', 'ticket', 'feel', 'like', 'make', 'late', '70', 'early', '80', 'time', 'manufacture', 'urban', 'ghetto', 'still', 'consider', 'good', 'idea']"
30632,"['rip', 'system', 'motion', 'streamline', 'spectacle', 'thorny', 'moral', 'quandary']"
25064,"['grip', 'tale', 'double', 'allegory', 'exploit', 'worker', 'economic', 'revolt']"
48995,"['question', 'hark', 'still', 'talent', 'need', 'find', 'footing']"
27314,"['welles', 'perform', 'leading', 'role', 'sensibly', 'direct', 'whole', 'manner', 'prove', 'master', 'number', 'effective', 'cinematic', 'trick']"
15647,"['offer', 'much', 'beyond', 'rather', 'depress', 'realization', 'today', 'screen', 'progressive', 'sexual', 'politics', 'boil', 'make', 'gay', 'family', 'dysfunction', 'hackneyed', 'straight', 'family']"
16792,"['act', 'good', 'especially', 'dern', 'top', 'mode', 'part', 'film', 'excite', 'draw', 'line', 'find', 'sort', 'classic']"
5205,"['canvas', 'serious', 'film', 'mental', 'illness', 'sentimental', 'heartwarmer', 'succeed', 'way']"
41930,"['movie', 'add', 'delicate', 'beauty', 'already', 'consider', 'rollick', 'shakespearean', 'comedy']"
35341,"['incredibly', 'move', 'meditation', 'capital', 'punishment', 'take', 'unenviable', 'task', 'show', 'side', 'smart', 'enough', 'let', 'audience', 'decide']"
20248,"['plot', 'paranoid', 'endgame', 'ubiquitous', 'mafia', 'know', 'everything', 'happen', 'instrument', 'terminal', 'destiny', 'run', 'death', 'absurd', 'wait']"
6518,"['queen', 'latifah', 'terrence', 'howard', 'may', 'draw', 'bad', 'one', 'thought', 'endear', 'performance', 'charm', 'clich', 'family', 'romance', 'would', 'enough']"
15460,"['moment', 'meet', 'ree', 'dolly', 'jennifer', 'lawrence', 'winter', 'bone', 'know', 'capable']"
9966,"['immigration', 'drama', 'real', 'dramatically', 'intense']"
7678,"['hammer', 'go', 'sneak', 'past', 'rag', 'bull', 'box', 'movie', 'pantheon', 'even', 'rocky', 'matter', 'like', 'star', 'underdog', 'root']"
27334,['shatter']
18684,"['lean', 'mastery', 'epic', 'form', 'make', 'weak', 'central', 'love', 'story']"
29474,"['darker', 'subtly', 'complex', 'expect', '1950s', 'crime', 'caper']"
409,"['atrocious', 'waste', 'perfectly', 'good', 'cgi', 'budget', 'least', 'geico', 'commercial', 'make', 'effort', 'get', 'historical', 'accuracy', 'right']"
46944,"['triumph', 'perspective']"
10689,"['think', 'every', 'scary', 'kid', 'horror', 'see', 'unborn', 'make']"
19258,"['overall', 'effect', 'set', 'quite', 'realistic', 'director', 'carpenter', 'keep', 'whole', 'stew', 'boil', 'make', 'rather', 'enjoyable', 'dinner']"
2287,"['always', 'interest', 'tension', 'cameron', 'work', 'masculine', 'feminine', 'quality', 'finally', 'hit', 'fan', 'mother', 'battle']"
12454,"['berlinger', 'provide', 'bracing', 'intelligent', 'look', 'battle', 'perhaps', 'must', 'fight', 'world', 'hardly', 'lack', 'come', 'tale', 'injustice']"
44648,"['jackson', 'strives', 'mightily', 'unify', 'story', 'job', 'much', 'studio', 'action', 'movie', 'go', 'camera', 'script', 'ready']"
12208,"['central', 'relationship', 'remain', 'intrigue', 'later', 'part', 'film', 'suffer', 'routine', 'conspiracy', 'plot']"
38357,"['game', 'one', 'film', 'require', 'viewer', 'suspend', 'disbelief', 'great', 'extent', 'offer', 'pretty', 'good', 'entertainment', 'return', 'effort']"
46397,"['kaminski', 'make', 'lose', 'souls', 'intelligent', 'use', 'recycle', 'material']"
5848,"['awful', 'offensive', 'pretty', 'weak', 'broth', 'nonetheless']"
19925,"['admittedly', 'may', 'guy', 'idea', 'romantic', 'film', 'woman', 'taut', 'script', 'letter', 'perfect', 'cast']"
48539,"['watch', 'evolution', 'help', 'sport', 'silly', 'smile']"
41872,"['manages', 'land', 'somewhere', 'president', 'men', 'clueless', 'brilliant', 'comic', 'performance', 'throughout']"
25557,"['surely', 'one', 'alfred', 'hitchcock', 'best', 'entertainment']"
400,"['roland', 'emmerich', 'remarkable', 'talent', 'drain', 'life', 'interesting', 'story']"
13305,"['felt', 'felt', 'force', 'first', 'moment', 'last', 'moment']"
16281,"['small', 'winner']"
44442,"['like', 'bumper', 'car', 'grown', 'ups']"
15155,"['one', 'silly', 'futuristic', 'thriller', 'ever', 'set', 'apart', 'though', 'also', 'one', 'thoroughly', 'indeed', 'virulently', 'unpleasant']"
3585,"['shyamalan', 'ever', 'go', 'something', 'different', 'make', 'something', 'manic', 'dark', 'twist', 'happen']"
42716,"['anyone', 'fail', 'recognize', 'fundamental', 'betrayal', 'author', 'creative', 'vision']"
16723,"['time', 'state', 'art', 'effect', 'help', 'flat', 'story', 'act']"
33680,"['bizarre', 'surreal', 'ultimately', 'less', 'engaging', 'playing', 'pong', 'blind', 'man']"
39377,"['another', 'stunningly', 'well', 'write', 'movie', 'base', 'book', 'productive', 'elmore', 'leonard']"
49258,"['attends', 'heist', 'thriller', 'obligation', 'needless', 'solemnity', 'studious', 'lack', 'imagination']"
2935,"['director', 'michael', 'apted', 'team', 'understand', 'challenge', 'kind', 'story', 'meet', 'intelligence', 'energy', 'manage', 'true', 'outsized', 'emotion', 'story', 'without', 'give', 'way', 'sentimentality']"
8258,"['road', 'immerse', 'completely', 'world', 'teach', 'well', 'character', 'new', 'way', 'think']"
40819,"['prison', 'dramedy', 'muddle', 'episodic', 'script', 'seem', 'go', 'hunger', 'strike', 'humor']"
2954,"['amaze', 'grace', 'prettify', 'take', 'life', 'time', '18th', 'century', 'reformer', 'william', 'wilberforce', 'carry', 'strong', 'whiff', 'piety', 'bad', 'smell', 'note', 'roses', 'treacle', 'mix', 'also', 'elements', 'sweat', 'pain']"
16246,"['movie', 'build', 'series', 'less', 'self', 'contain', 'episode', 'episode', 'work', 'worth', 'effort']"
4876,"['set', 'whiteout', 'antarctica', 'salvage', 'movie', 'cinematic', 'scrap', 'heap']"
16094,"['psychological', 'thriller', 'highlight', 'hell', 'hath', 'fury', 'like', 'frustrated', 'knight', 'shin', 'armor', 'even', 'plastic', 'sword', 'disposal']"
46377,"['may', 'today', 'jade', 'audience', 'scream', 'writhe', 'terror', 'lose', 'soul', 'genuinely', 'nightmarish']"
9766,"['soul', 'men', 'lot', 'overcome', 'effort', 'funny', 'pall', 'ignore', 'intermittently', 'least', 'time']"
11888,"['creepy', 'aspect', 'departure', 'dead', 'people', 'end', 'beautiful']"
34073,"['chance', 'humor', 'downplay', 'favor', 'heavy', 'hand', 'sentimental', 'effort']"
23948,"['peppy', 'film', 'help', 'along', 'considerably', 'inherent', 'eye', 'candy', 'come', 'along', 'setting', 'film', 'pacific', 'harryhausen', 'best']"
17674,"['surfeit', 'screenwriter', 'eight', 'include', 'billy', 'wild', 'director', 'five', 'include', 'john', 'huston', 'lend', 'whole', 'chaotic', 'disjoint', 'air', 'much', 'fun', 'along', 'way']"
29070,"['alice', 'world', 'far', 'loony', 'mad', 'teeth', 'fine', 'departure', 'fairy', 'tale', 'cinderella', 'snow', 'white']"
7807,"['maybe', 'give', 'filmmaker', 'much', 'credit', 'like', 'believe', 'priest', 'tedious', 'hollow', 'joyless', 'jumble', 'present']"
41415,"['past', 'may', 'pack', 'lie', 'film', 'suggest', 'everything', 'go', 'piece', 'hard', 'feel', 'nostalgic', 'something']"
21698,"['larry', 'cohen', 'horror', 'thriller', 'great', 'suspense', 'monster', 'film', 'darkly', 'comic', 'soap', 'opera', 'strain', 'parent', 'child', 'relationship']"
21562,"['remake', 'grand', 'old', 'film', 'discourage', 'director', 'philip', 'kaufman', 'get', 'away', 'one', 'style', 'verve']"
3622,"['another', 'case', 'elegant', 'filmmaking', 'kneecap', 'thunderingly', 'stupid', 'concept']"
43661,"['thoroughly', 'entertain']"
16983,"['require', 'absolute', 'virtuosity', 'get', 'full', 'portrait', 'hilarious', 'heroine', 'stage', 'exactly', 'miss', 'holliday', 'give']"
41882,"['dick', 'political', 'satire', 'star', 'kirsten', 'dunst', 'michelle', 'williams', 'manage', 'hold', 'twenty', 'year', 'theatrical', 'release', '1999']"
12044,"['get', 'videogame', 'hell', 'joust', 'cage', 'tangle', 'long', 'hair', 'seem', 'mistakenly', 'put', 'wash', 'machine']"
20601,"['horror', 'genre', 'often', 'rightfully', 'malign', 'many', 'film', 'within', 'genre', 'cheap', 'exploitation', 'film', 'whose', 'filmmaker', 'care', 'monetary', 'return', 'craft', 'great', 'movie']"
16828,"['director', 'alfred', 'hitchcock', 'frequently', 'fail', 'see', 'scene', 'adequately', 'light', 'often', 'images', 'stand', 'distinctly', 'might', 'attention', 'pay', 'shade', 'interior', 'wall']"
17780,"['psychological', 'horror', 'fine', 'timelessly', 'terrify', 'absolutely', 'purr', 'fect']"
19136,"['always', 'curiosity', 'piece', 'truly', 'satisfying', 'movie']"
22887,"['orson', 'welles', 'heavily', 'chop', 'drama', 'still', 'nostalgic', 'dramatically', 'powerful', 'tale', 'ultimately', 'savor', 'rather', 'reject']"
